clust_id,X_position,Y_position,type,GenesDetected,x_axis,channel
1,18075.50586,26125.8457,Colonic patch,9611,0.657361415,
1,22472.42773,29411.0332,Colonic patch,10319,0.392589967,
1,20262.37109,34432.62109,Colonic patch,8875,0.322405985,
1,18919,12395,Colonic patch,9899,0.5232029187,
1,8602.692383,36490.0625,Colonic patch,7589,0.4905372889,
1,18042.45703,30500.38867,Colonic patch,8780,0.6195384751,
2,22326.54297,8357.572266,Epithelium,8206,1.318844828,
2,30314.45898,1106.504639,Epithelium,7615,1.38822196109,
2,15926.55859,30108.26563,Epithelium,7859,1.59880253566,
2,27143.29297,28611.77539,Epithelium,10065,1.4898139765,
2,27013.88281,31268.40039,Epithelium,10957,1.4944974887,
2,33507.43359,35182.27344,Epithelium,8928,1.4127677136,
3,22326.54297,8357.572266,Lamina propria,9320,2.3889633773,
3,30314.45898,1106.504639,Lamina propria,7257,2.527731533,
3,15926.55859,30108.26563,Lamina propria,5611,2.4106922886,
3,27143.29297,28611.77539,Lamina propria,6231,2.423559428,
3,27013.88281,31268.40039,Lamina propria,9440,2.557608314,
3,33507.43359,35182.27344,Lamina propria,9206,2.6108844451,
4,29379,31390,Enteroendocrine cells,6604,3.618857689,DNA
4,12584,39010,Enteroendocrine cells,6597,3.438959455,DNA
4,33924,38851,Enteroendocrine cells,7241,3.63956849,DNA
4,12856,32435,Enteroendocrine cells,6974,3.382504993,DNA
4,15365,41449,Enteroendocrine cells,353,3.48,DNA
4,12931,10896,Enteroendocrine cells,5597,3.533775,DNA
5,22761,9619,Muscularis mucosae,3725,4.4882836273,
5,16844,9709,Muscularis mucosae,1750,4.3805464946,
5,29360,4435,Muscularis mucosae,1658,4.6925855204,
5,26825,29348,Muscularis mucosae,1592,4.49449851,
5,17459,31539,Muscularis mucosae,2544,4.6082678352,
5,25710,25938,Muscularis mucosae,2495,4.380666343,
6,16641,12730,Vessels,417,5.56457721,
6,15450,12796,Vessels,908,5.533850507,
6,30636,8062,Vessels,675,5.666070182,
6,10997,34608,Vessels,723,5.397805301,
7,16131.39453,14057.03027,Submucosa connective tissues,295,6.54105593351,
7,27770.59766,8917.713867,Submucosa connective tissues,698,6.64173589059,
7,14352.32715,27216.32422,Submucosa connective tissues,650,6.368598814,
7,13728.7793,34852.78125,Submucosa connective tissues,1586,6.5,
8,11502.19727,18076.13477,Circular muscle layer,2452,7.637784758,
8,15774.07324,16399.0957,Circular muscle layer,2157,7.38065688266,
8,19412.27344,15409.05176,Circular muscle layer,1992,7.6048872351,
8,22720.85938,13868.95117,Circular muscle layer,3372,7.48164174224,
9,12134.82617,19386.2793,Longitudinal muscle layer,2752,8.5121593653,
9,18818.26953,16972.75781,Longitudinal muscle layer,2262,8.61239351169,
9,22294.69727,15830.45703,Longitudinal muscle layer,2038,8.41,
9,25031.59961,15176.76953,Longitudinal muscle layer,4039,8.4,
